 0 4.218e+00 4.218e+00 4.218e+00 4.218e+00
 1 6.890e+00 6.890e+00 3.834e+00 7.531e+00
 2 2.237e+00 2.811e+00 2.522e+00 6.918e+00
 3 3.542e-01 8.966e-01 1.013e+00 2.635e+00
 4 2.388e-01 2.426e-01 3.553e-01 5.256e-01
 5 8.239e-03 9.988e-02 2.004e-02 1.471e-01
 6 4.350e-03 9.103e-03 1.115e-02 3.543e-02
 7 3.167e-03 6.945e-03 2.437e-03 1.343e-02
 8 1.469e-03 6.397e-03 1.520e-03 3.674e-03
 9 1.310e-03 2.389e-03 6.269e-04 1.889e-03
10 1.071e-03 3.475e-04 3.269e-04 1.176e-03
11 4.932e-04 2.990e-04 1.075e-04 1.501e-04
12 3.249e-04 1.224e-04 5.428e-05 1.445e-04
13 2.393e-04 9.369e-05 5.509e-05 1.314e-04
14 1.047e-04 8.254e-05 4.573e-05 1.269e-04
15 9.996e-05 7.612e-05 4.069e-05 1.236e-04
16 5.728e-05 7.024e-05 2.767e-05 6.223e-05
17 5.795e-05 7.165e-05 2.742e-05 6.179e-05
18 5.782e-05 6.770e-05 2.908e-05 5.842e-05
19 5.799e-05 6.100e-05 2.760e-05 5.876e-05
20 5.815e-05 6.012e-05 3.056e-05 6.141e-05
21 5.995e-05 6.153e-05 2.935e-05 6.126e-05
22 4.232e-05 5.010e-05 2.569e-05 5.038e-05
23 4.115e-05 2.519e-05 2.463e-05 4.551e-05
24 3.653e-05 2.505e-05 2.351e-05 5.146e-05
25 3.629e-05 2.528e-05 2.606e-05 5.137e-05
26 3.080e-05 2.738e-05 2.894e-05 4.964e-05
27 2.966e-05 2.615e-05 2.641e-05 2.130e-05
28 1.998e-05 2.639e-05 2.470e-05 2.125e-05
29 1.974e-05 2.623e-05 2.515e-05 2.026e-05
30 1.941e-05 2.644e-05 2.625e-05 2.001e-05
