 0 4.218e+00 4.218e+00 4.218e+00 4.218e+00 4.218e+00 4.218e+00 4.218e+00
 1 6.890e+00 3.871e+00 4.702e+00 3.554e+00 8.518e+00 3.585e+00 1.982e+01
 2 2.237e+00 3.295e+00 5.176e+00 2.803e+00 1.003e+01 4.219e+00 7.014e+01
 3 3.542e-01 2.453e+00 1.689e+00 9.152e-01 1.045e+01 4.219e+00 5.620e+01
 4 2.388e-01 1.287e+00 1.291e+00 5.393e-01 9.508e+00 4.041e+00 2.169e+01
 5 8.239e-03 3.396e-01 1.733e-01 3.731e-02 8.347e+00 1.634e+00 2.325e+01
 6 4.350e-03 3.320e-02 1.068e-01 4.117e-02 7.119e+00 3.195e-01 2.578e+01
 7 3.167e-03 2.728e-02 1.830e-02 2.020e-02 3.988e+00 1.299e-02 2.796e+01
 8 1.469e-03 9.842e-03 5.477e-03 5.481e-03 3.344e+00 1.887e-02 2.952e+01
 9 1.310e-03 4.378e-03 4.008e-03 8.317e-04 2.340e+00 2.488e-03 3.112e+01
10 1.071e-03 4.300e-04 1.841e-03 4.710e-04 1.911e+00 2.283e-03 3.188e+01
11 4.932e-04 2.580e-04 7.844e-04 3.360e-04 1.606e+00 7.245e-04 3.224e+01
12 3.249e-04 1.705e-04 5.501e-04 3.167e-04 1.298e+00 6.816e-04 3.449e+01
13 2.393e-04 9.537e-05 4.296e-04 1.774e-04 1.111e+00 6.797e-04 3.614e+01
14 1.047e-04 8.578e-05 3.974e-04 1.769e-04 1.008e+00 6.690e-04 3.662e+01
15 9.996e-05 8.473e-05 2.399e-04 6.248e-05 8.993e-01 6.625e-04 3.678e+01
16 5.728e-05 8.821e-05 8.822e-05 5.862e-05 8.014e-01 4.503e-04 3.689e+01
17 5.795e-05 7.135e-05 8.723e-05 6.020e-05 7.415e-01 4.479e-04 3.693e+01
18 5.782e-05 6.227e-05 7.299e-05 5.916e-05 6.712e-01 4.276e-04 3.694e+01
19 5.799e-05 6.282e-05 7.080e-05 5.575e-05 5.919e-01 4.272e-04 3.694e+01
20 5.815e-05 5.860e-05 6.620e-05 4.695e-05 5.121e-01 4.091e-04 3.694e+01
21 5.995e-05 5.554e-05 6.596e-05 4.668e-05 4.458e-01 3.809e-04 3.694e+01
22 4.232e-05 5.263e-05 6.190e-05 1.548e-05 4.313e-01 3.817e-04 3.694e+01
23 4.115e-05 5.120e-05 4.608e-05 1.533e-05 3.960e-01 3.632e-04 3.694e+01
24 3.653e-05 5.128e-05 4.228e-05 1.543e-05 3.832e-01 3.579e-04 3.694e+01
25 3.629e-05 5.001e-05 4.162e-05 1.410e-05 3.496e-01 3.112e-04 3.694e+01
26 3.080e-05 4.386e-05 3.668e-05 1.358e-05 3.042e-01 3.096e-04 3.694e+01
27 2.966e-05 4.362e-05 3.646e-05 1.339e-05 2.849e-01 3.038e-04 3.694e+01
28 1.998e-05 2.114e-05 3.367e-05 1.290e-05 2.549e-01 3.007e-04 2.927e+01
29 1.974e-05 1.555e-05 3.153e-05 1.266e-05 2.373e-01 1.763e-04 2.624e+01
30 1.941e-05 1.541e-05 3.041e-05 1.221e-05 2.211e-01 1.732e-04 2.448e+01
