  0 4.682e+00 4.682e+00 4.682e+00 4.682e+00 4.682e+00 4.682e+00 4.682e+00 4.682e+00 4.682e+00
  1 4.681e+00 4.678e+00 4.693e+00 4.160e+00 3.003e+00 5.875e+00 5.502e+00 4.655e+00 2.807e+01
  2 5.265e+00 4.665e+00 1.625e+01 4.442e+00 1.821e+00 1.590e+01 5.622e+00 4.639e+00 2.807e+01
  3 1.755e+01 4.612e+00 1.962e+02 7.711e+00 3.072e+00 2.017e+01 6.081e+00 4.657e+00 7.252e+01
  4 1.849e+01 2.532e+00 1.759e+02 9.078e+00 1.678e+00 2.718e+01 6.510e+00 4.674e+00 7.251e+01
  5 1.573e+01 3.028e+00 2.067e+02 7.448e+00 1.375e+00 2.956e+01 6.561e+00 4.667e+00 7.251e+01
  6 1.358e+01 2.726e+00 2.469e+02 5.056e+00 7.899e-01 2.147e+01 6.757e+00 4.669e+00 7.379e+01
  7 1.054e+01 1.442e+00 1.694e+02 2.369e+00 2.511e-01 1.446e+01 7.948e+00 4.668e+00 7.379e+01
  8 7.290e+00 4.364e-01 2.443e+02 1.091e+00 2.355e-01 1.121e+01 8.217e+00 4.669e+00 7.379e+01
  9 4.527e+00 3.184e-01 1.588e+02 6.470e-01 1.289e-01 8.251e+00 8.193e+00 4.667e+00 7.379e+01
 10 2.074e+00 1.473e-01 1.170e+02 3.051e-01 8.491e-02 1.323e+00 8.335e+00 4.669e+00 7.379e+01
 11 1.184e+00 1.312e-01 7.675e+01 1.856e-01 3.439e-02 9.009e-01 8.407e+00 4.669e+00 7.379e+01
 12 7.589e-01 8.519e-02 8.093e+01 1.281e-01 2.560e-02 7.080e-01 8.444e+00 4.667e+00 7.378e+01
 13 4.650e-01 4.379e-02 8.781e+01 8.411e-02 1.993e-02 5.761e-01 9.494e+00 4.657e+00 7.378e+01
 14 2.809e-01 3.987e-02 2.719e+01 5.798e-02 1.844e-02 4.561e-01 9.535e+00 4.656e+00 7.378e+01
 15 1.858e-01 3.582e-02 2.536e+01 3.991e-02 1.431e-02 4.103e-01 9.944e+00 4.650e+00 7.378e+01
 16 1.207e-01 1.877e-02 5.675e+00 2.920e-02 1.130e-02 2.087e-01 1.008e+01 4.647e+00 7.378e+01
 17 6.886e-02 1.532e-02 1.859e+00 1.990e-02 7.739e-03 9.337e-02 1.008e+01 4.647e+00 7.378e+01
 18 4.896e-02 9.840e-03 4.120e-01 1.632e-02 6.838e-03 5.678e-02 1.010e+01 4.643e+00 7.378e+01
 19 3.219e-02 8.998e-03 1.771e-01 1.309e-02 4.024e-03 5.824e-02 1.011e+01 4.641e+00 7.378e+01
 20 2.344e-02 7.566e-03 8.499e-02 9.938e-03 3.784e-03 4.899e-02 1.017e+01 4.638e+00 7.378e+01
 21 1.867e-02 6.099e-03 7.134e-02 8.010e-03 2.430e-03 3.728e-02 1.025e+01 4.624e+00 7.378e+01
 22 1.478e-02 3.784e-03 7.435e-02 6.836e-03 2.475e-03 3.450e-02 1.035e+01 4.621e+00 7.770e+01
 23 1.308e-02 3.374e-03 6.115e-02 5.863e-03 2.555e-03 2.383e-02 1.041e+01 4.621e+00 7.770e+01
 24 1.066e-02 3.077e-03 6.204e-02 4.974e-03 2.404e-03 2.051e-02 1.041e+01 4.621e+00 7.770e+01
 25 8.794e-03 2.221e-03 5.693e-02 4.342e-03 1.871e-03 1.987e-02 1.043e+01 4.619e+00 7.770e+01
 26 7.481e-03 2.147e-03 6.297e-02 3.518e-03 1.056e-03 1.266e-02 1.041e+01 4.615e+00 7.770e+01
 27 6.513e-03 1.610e-03 5.044e-02 3.252e-03 1.025e-03 1.552e-02 1.040e+01 4.610e+00 7.770e+01
 28 5.436e-03 1.493e-03 2.395e-02 2.815e-03 1.224e-03 6.822e-03 1.085e+01 4.605e+00 7.770e+01
 29 4.714e-03 1.568e-03 2.386e-02 2.374e-03 1.193e-03 4.943e-03 1.082e+01 4.597e+00 7.770e+01
 30 4.047e-03 1.078e-03 2.366e-02 2.121e-03 1.053e-03 5.005e-03 1.084e+01 4.590e+00 7.798e+01
 31 3.568e-03 9.060e-04 1.780e-02 2.009e-03 9.619e-04 4.796e-03 1.082e+01 4.577e+00 7.798e+01
 32 3.166e-03 1.082e-03 1.912e-02 1.809e-03 9.620e-04 4.349e-03 1.085e+01 4.569e+00 7.798e+01
 33 2.633e-03 9.251e-04 1.397e-02 1.618e-03 9.783e-04 3.774e-03 1.098e+01 4.567e+00 7.798e+01
 34 2.334e-03 8.981e-04 1.261e-02 1.419e-03 7.903e-04 3.670e-03 1.098e+01 4.566e+00 7.798e+01
