10 1.540e+00 3.277e-01 6.882e+00
11 1.485e+00 3.213e-01 7.698e+00
12 1.308e+00 1.455e-01 9.074e+00
13 1.031e+00 1.056e-01 9.999e+00
14 4.320e-01 8.557e-02 1.089e+01
15 2.484e-01 2.391e-02 1.182e+01
16 1.530e-01 2.504e-02 1.268e+01
17 1.030e-01 2.325e-02 1.265e+01
18 7.238e-02 1.700e-02 1.151e+01
19 5.468e-02 1.502e-02 1.211e+01
20 4.132e-02 8.285e-03 1.217e+01
21 3.295e-02 8.635e-03 1.242e+01
22 2.559e-02 7.017e-03 1.068e+01
23 2.073e-02 5.895e-03 1.320e+01
24 1.749e-02 3.753e-03 1.374e+01
25 1.421e-02 3.037e-03 1.311e+01
26 9.870e-03 2.497e-03 1.272e+01
27 8.314e-03 1.988e-03 1.253e+01
28 6.770e-03 2.055e-03 1.307e+01
29 5.860e-03 1.977e-03 1.280e+01
30 5.048e-03 1.476e-03 1.316e+01
31 4.753e-03 1.300e-03 1.288e+01
32 4.167e-03 1.053e-03 1.270e+01
33 3.514e-03 8.882e-04 1.119e+01
34 2.733e-03 6.476e-04 7.543e+00
35 2.242e-03 6.264e-04 3.276e+00
36 1.752e-03 5.248e-04 1.383e+00
37 1.551e-03 5.073e-04 8.724e-01
38 1.292e-03 4.918e-04 1.725e-01
39 1.113e-03 3.927e-04 1.611e-01
40 8.614e-04 2.357e-04 6.668e-02
41 6.978e-04 2.344e-04 2.423e-02
42 6.357e-04 1.723e-04 1.157e-02
43 5.539e-04 1.730e-04 6.964e-03
44 5.053e-04 1.630e-04 3.549e-03
45 4.400e-04 1.615e-04 2.482e-03
46 3.898e-04 1.547e-04 2.299e-03
47 3.174e-04 1.562e-04 1.510e-03
48 2.819e-04 1.485e-04 1.409e-03
49 2.622e-04 1.468e-04 1.289e-03
50 2.425e-04 1.150e-04 1.176e-03
